PATCH,	BLUE,	RED,	WINNER,	BB1,	RB1,	BB2,	RB2,	BB3,	RB3,	BP1,	RP1,	RP2,	BP2,	BP3,	RP3,	RB4,	BB4,	RB5,	BB5,	RP4,	BP4,	BP5,	RP5
8_15,	ROC,	SPY,	RED,	ZOE,	TALIYAH,	RUMBLE,	RAKAN,	AATROX,	NOCTURNE,	VARUS,	TRUNDLE, TAHM KENCH,	SEJUANI, BRAUM,	GNAR,	KENNEN,	RYZE,	ORIANNA,	EZREAL,	ASHE,	AZIR, ORNN,	LEBLANC
8_15,	H2K,	MSF,	RED,	DRAVEN,	TALIYAH,	TAHM KENCH,	AATROX,	RAKAN,	NOCTURNE,	TRUNDLE,	GRAGAS, BRAUM,	RYZE, GNAR,	SYNDRA,	EZREAL,	KENNEN,	LUCIAN,	CAMILLE,	GANGPLANK,	FIZZ, ALISTAR,	KAISA
8_15,	UOL,	G2,	RED,	TRUNDLE,	TALIYAH,	ASHE,	NOCTURNE,	AZIR,	RUMBLE,	AATROX,	VARUS, SEJUANI,	RYZE, TAHM KENCH,	BRAUM,	EZREAL,	IRELIA,	KINDRED,	LOSS_OF_BAN,	CAMILLE,	JHIN, GRAGAS,	AKALI
8_15,	FNC,	GIA,	BLUE,	RUMBLE,	AATROX,	NOCTURNE,	YASUO,	TALIYAH,	RAKAN,	PYKE,	RYZE, TAHM KENCH,	EZREAL, AKALI,	JHIN,	SEJUANI,	GNAR,	KINDRED,	POPPY,	TRUNDLE,	ELISE, ORNN,	GRAGAS
8_15,	S04,	VIT,	BLUE,	TRUNDLE,	AATROX,	RYZE,	SEJUANI,	GALIO,	ALISTAR,	AKALI,	TALIYAH, RAKAN,	NOCTURNE, BRAUM,	XAYAH,	LUCIAN,	GNAR,	RUMBLE,	KENNEN,	GRAGAS,	POPPY, EZREAL,	DARIUS
8_15,	VIT,	H2K,	BLUE,	FIZZ,	TRUNDLE,	NOCTURNE,	RAKAN,	AATROX,	AKALI,	TALIYAH,	TAHM KENCH, RYZE,	ALISTAR, GALIO,	SEJUANI,	CAMILLE,	DARIUS,	GRAGAS,	YASUO,	GNAR,	JARVAN IV, MISS FORTUNE,	DRAVEN
8_15,	ROC,	UOL,	RED,	RYZE,	TALIYAH,	DR. MUNDO,	VARUS,	AKALI,	TRUNDLE,	AATROX,	TAHM KENCH, SEJUANI,	CAMILLE, RUMBLE,	KENNEN,	RAKAN,	ZOE,	SHEN,	TALON,	IRELIA,	EZREAL, PYKE,	KAISA
8_15,	S04,	GIA,	BLUE,	RYZE,	AATROX,	TRUNDLE,	AKALI,	TALIYAH,	NOCTURNE,	SEJUANI,	GRAGAS, TAHM KENCH,	BRAUM, EZREAL,	GNAR,	KENNEN,	VARUS,	CAMILLE,	JHIN,	LUCIAN,	POPPY, ORIANNA,	AZIR
8_15,	G2,	MSF,	BLUE,	BRAUM,	TALIYAH,	NOCTURNE,	AKALI,	MORGANA,	AATROX,	RAKAN,	TRUNDLE, RYZE,	XAYAH, GRAGAS,	TAHM KENCH,	ORIANNA,	GANGPLANK,	LEBLANC,	EZREAL,	KAISA,	GNAR, YASUO,	KENNEN
8_15,	FNC,	SPY,	BLUE,	TRUNDLE,	AKALI,	AATROX,	YASUO,	TALIYAH,	NOCTURNE,	SEJUANI,	RYZE, TAHM KENCH,	SWAIN, PYKE,	VARUS,	IRELIA,	RUMBLE,	ORNN,	KENNEN,	SKARNER,	GRAGAS, WUKONG,	ZOE
8_15,	H2K,	UOL,	RED,	RYZE,	AATROX,	RAKAN,	TALIYAH,	TRUNDLE,	AKALI,	NOCTURNE,	TAHM KENCH, SEJUANI,	GNAR, ORIANNA,	IRELIA,	BRAUM,	VARUS,	PYKE,	KENNEN,	MALPHITE,	VAYNE, LULU,	KAISA
8_15,	S04,	SPY,	BLUE,	TRUNDLE,	NOCTURNE,	TALIYAH,	AKALI,	ZAC,	AATROX,	SEJUANI,	VARUS, YASUO,	ALISTAR, VLADIMIR,	GRAGAS,	KENNEN,	TAHM KENCH,	POPPY,	GNAR,	BRAUM,	CHOGATH, EZREAL,	DR. MUNDO
8_15,	GIA,	G2,	RED,	VARUS,	TALIYAH,	LEBLANC,	NOCTURNE,	AATROX,	AKALI,	RYZE,	ASHE, TAHM KENCH,	EZREAL, BRAUM,	SEJUANI,	TRUNDLE,	YASUO,	KINDRED,	CAMILLE,	CHOGATH,	OLAF, GNAR,	ZOE
8_15,	FNC,	ROC,	BLUE,	CAMILLE,	AKALI,	VARUS,	PYKE,	TALIYAH,	AATROX,	RAKAN,	EZREAL, LEONA,	XAYAH, SEJUANI,	RUMBLE,	DR. MUNDO,	TRUNDLE,	GNAR,	OLAF,	KINDRED,	ORNN, LEBLANC,	LISSANDRA
8_15,	MSF,	VIT,	RED,	RYZE,	RAKAN,	GALIO,	TALIYAH,	TRUNDLE,	AATROX,	AKALI,	GRAGAS, BRAUM,	SEJUANI, VARUS,	LEBLANC,	GNAR,	JHIN,	TAHM KENCH,	MISS FORTUNE,	DRAVEN,	THRESH, CHOGATH,	OLAF
8_15,	GIA,	SPY,	RED,	ZOE,	OLAF,	TAHM KENCH,	TALIYAH,	AATROX,	NOCTURNE,	AKALI,	VARUS, LEBLANC,	SEJUANI, LUCIAN,	TRUNDLE,	MORGANA,	RAKAN,	ALISTAR,	DR. MUNDO,	BRAUM,	RUMBLE, JANNA,	GNAR
8_15,	H2K,	S04,	BLUE,	POPPY,	TALIYAH,	BRAUM,	NOCTURNE,	SEJUANI,	DRAVEN,	TRUNDLE,	AATROX, GRAGAS,	TAHM KENCH, AKALI,	VARUS,	GNAR,	LEBLANC,	JHIN,	SHEN,	RAKAN,	EZREAL, FIORA,	RYZE
8_15,	MSF,	ROC,	RED,	RUMBLE,	RAKAN,	TRUNDLE,	AKALI,	BRAUM,	AATROX,	VARUS,	ASHE, TAHM KENCH,	TALIYAH, PYKE,	OLAF,	YASUO,	GNAR,	RYZE,	LISSANDRA,	DR. MUNDO,	LEBLANC, CHOGATH,	TWISTED FATE
8_15,	FNC,	UOL,	RED,	TRUNDLE,	AKALI,	AATROX,	RAKAN,	TALIYAH,	SEJUANI,	PYKE,	BRAUM, KAISA,	EZREAL, KINDRED,	GRAGAS,	AZIR,	QUINN,	LEBLANC,	RYZE,	IRELIA,	CHOGATH, FIZZ,	KENNEN
8_15,	VIT,	G2,	BLUE,	VARUS,	TALIYAH,	AKALI,	RAKAN,	AATROX,	GALIO,	GRAGAS,	TRUNDLE, BRAUM,	ALISTAR, KINDRED,	EZREAL,	RYZE,	YASUO,	LEBLANC,	RUMBLE,	JARVAN IV,	ZOE, KAISA,	ORIANNA
8_15,	S04,	VIT,	RED,	TALIYAH,	AKALI,	RAKAN,	AATROX,	KINDRED,	SEJUANI,	BRAUM,	TRUNDLE, VARUS,	GRAGAS, EZREAL,	RYZE,	YASUO,	ALISTAR,	RUMBLE,	KENNEN,	THRESH,	GNAR, VELKOZ,	JARVAN IV
8_15,	G2,	VIT,	RED,	TRUNDLE,	AKALI,	OLAF,	AATROX,	RYZE,	TALIYAH,	GRAGAS,	BRAUM, EZREAL,	RAKAN, XAYAH,	GALIO,	YASUO,	NOCTURNE,	LUCIAN,	KINDRED,	POPPY,	ZOE, CHOGATH,	JARVAN IV
8_15,	G2,	S04,	RED,	BRAUM,	AKALI,	ALISTAR,	AATROX,	EZREAL,	RAKAN,	TALIYAH,	RYZE, OLAF,	VARUS, TAHM KENCH,	LULU,	GNAR,	KAISA,	YASUO,	LUCIAN,	ASHE,	ORNN, FIZZ,	POPPY
